"","label","spotify_id","title","artist","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","tempo"
0,"energizing","3vmCx7SgEJOlP2zBrTHwfY","Party Theme (Bout De Toi Remix)","Anemone",10,1,0.0924,0.62,0.904,0.858,0.11699999999999999,-7.447,0.033,0.789,107.025
1,"upbeat","3HVWdVOQ0ZA45FuZGSfvns","I Don't Care (with Justin Bieber)","Ed Sheeran",6,1,0.0912,0.7979999999999999,0.675,0.0,0.0894,-5.041,0.0442,0.8420000000000001,101.956
2,"sensual","2A9kA2hTBbvd11zC4EJUNy","On My Own","Kyle the hooligan",5,0,0.0129,0.57,0.718,0.0,0.12,-5.169,0.0385,0.6759999999999999,171.984
3,"serious","6Up545NUflOiXo8cEraH49","You Say","Lauren Daigle",5,1,0.682,0.494,0.632,0.0,0.0869,-6.89,0.0342,0.0797,147.873
4,"serious","3pil7DXQmpnQcImkoF4wz1","Where Do You Go","Yebba",0,1,0.703,0.637,0.647,0.179,0.0912,-10.583,0.0421,0.33299999999999996,149.936
5,"sensual","0aqRkWPAL9BGCvvdSiXaE9","I Belong in Your Arms","Chairlift",5,1,0.0048200000000000005,0.498,0.795,5.3700000000000004e-05,0.124,-5.992000000000001,0.0444,0.762,172.56400000000002
6,"somber","5z14e4rPImlgk40W33dt0U","Nikes On","Healy",9,1,0.635,0.825,0.313,0.000166,0.107,-9.562999999999999,0.217,0.242,82.98899999999999
7,"serious","2QAq0ihpn98Oejg1GzUUXv","Ghost Of You","JoLivi",5,1,0.16699999999999998,0.619,0.72,0.0,0.128,-5.18,0.0353,0.35700000000000004,84.02600000000001
8,"sentimental","74d9QhneUCIUvO00ev5kyX","Just a Little Longer","SHY Martin",0,1,0.0559,0.85,0.551,0.0,0.161,-7.197,0.0572,0.634,104.96700000000001
9,"serious","4SvgYftkBSTZJYleSA3psb","Sunshine","Lance & Linton",10,1,0.142,0.48200000000000004,0.807,0.0,0.114,-4.846,0.0453,0.331,127.999
10,"somber","07Zi9Se5hk3qCuDBr5NbYk","Green Room (feat. Ed Droste)","Henry Jamison",2,1,0.698,0.568,0.406,0.0068200000000000005,0.135,-9.57,0.0244,0.382,78.018
11,"energizing","78qd8dvwea0Gosb6Fe6j3k","Boss Bitch","Doja Cat",10,0,0.127,0.7070000000000001,0.955,0.0,0.20199999999999999,-4.593,0.222,0.575,125.98899999999999
